date,close
2021-03-16,34.48
2021-03-17,34.74
2021-03-18,34.54
2021-03-19,34.7
2021-03-22,34.64
2021-03-23,34.4
2021-03-24,34.5
2021-03-25,34.38
2021-03-26,34.48
2021-03-29,34.06
2021-03-30,33.48
2021-03-31,34
2021-04-01,34.42
2021-04-05,34.4
2021-04-06,34.68
2021-04-07,34.58
2021-04-08,34.96
2021-04-09,34.7
2021-04-12,34.48
2021-04-13,34.7
2021-04-14,34.58
2021-04-15,35.12
2021-04-16,35.32
2021-04-19,35.22
2021-04-20,35.38
2021-04-21,35.72
2021-04-22,35.5
2021-04-23,35.36
2021-04-26,35.46
2021-04-27,35.36
2021-04-28,35.44
2021-04-29,35.32
2021-04-30,35.2
2021-05-03,35.64
2021-05-04,35.4
2021-05-05,35.52
2021-05-06,36.12
2021-05-07,36.44
2021-05-10,36.56
2021-05-11,36.58
2021-05-12,36.2
2021-05-13,36.38
2021-05-14,36.7
2021-05-17,37.14
2021-05-18,37.18
2021-05-19,37.22
2021-05-20,37.4
2021-05-21,37.42
2021-05-24,37.46
2021-05-25,37.82
2021-05-26,37.76
2021-05-27,37.74
2021-05-28,37.86
2021-06-01,37.82
2021-06-02,37.98
2021-06-03,37.22
2021-06-04,37.64
2021-06-07,37.78
2021-06-08,37.66
2021-06-09,37.6
2021-06-10,37.78
2021-06-11,37.34
2021-06-14,37.14
2021-06-15,37
2021-06-16,36.38
2021-06-17,35.26
2021-06-18,35.06
2021-06-21,35.48
2021-06-22,35.34
2021-06-23,35.32
2021-06-24,35.28
2021-06-25,35.38
2021-06-28,35.38
2021-06-29,35.06
2021-06-30,35.22
2021-07-01,35.32
2021-07-02,35.56
2021-07-06,35.76
2021-07-07,35.88
2021-07-08,35.86
2021-07-09,35.98
2021-07-12,35.92
2021-07-13,35.98
2021-07-14,36.34
2021-07-15,36.38
2021-07-16,36.02
2021-07-19,36.04
2021-07-20,36.02
2021-07-21,35.88
2021-07-22,35.96
2021-07-23,35.82
2021-07-26,35.74
2021-07-27,35.8
2021-07-28,35.98
2021-07-29,36.4
2021-07-30,36.08
2021-08-02,36.08
2021-08-03,36.02
2021-08-04,36.06
2021-08-05,35.88
2021-08-06,35.02
2021-08-09,34.4
2021-08-10,34.4
2021-08-11,34.86
2021-08-12,34.9
2021-08-13,35.36
2021-08-16,35.54
2021-08-17,35.5
2021-08-18,35.52
2021-08-19,35.44
2021-08-20,35.46
2021-08-23,35.88
2021-08-24,35.84
2021-08-25,35.6
2021-08-26,35.64
2021-08-27,36.16
2021-08-30,36.02
2021-08-31,36.12
2021-09-01,36.08
2021-09-02,36
2021-09-03,36.38
2021-09-07,35.68
2021-09-08,35.56
2021-09-09,35.7
2021-09-10,35.54
2021-09-13,35.68
2021-09-14,35.88
2021-09-15,35.66
2021-09-16,34.88
2021-09-17,34.84
2021-09-20,35.08
2021-09-21,35.3
2021-09-22,35.16
2021-09-23,34.76
2021-09-24,34.72
2021-09-27,34.82
2021-09-28,34.46
2021-09-29,34.32
2021-09-30,34.92
2021-10-01,34.98
2021-10-04,35.18
2021-10-05,35
2021-10-06,35.06
2021-10-07,34.92
2021-10-08,34.94
2021-10-11,34.86
2021-10-12,35.02
2021-10-13,35.62
2021-10-14,35.74
2021-10-15,35.14
2021-10-18,35.06
2021-10-19,35.2
2021-10-20,35.5
2021-10-21,35.48
2021-10-22,35.68
2021-10-25,35.92
2021-10-26,35.66
2021-10-27,35.76
2021-10-28,35.76
2021-10-29,35.46
2021-11-01,35.64
2021-11-02,35.54
2021-11-03,35.24
2021-11-04,35.64
2021-11-05,36.14
2021-11-08,36.26
2021-11-09,36.44
2021-11-10,36.84
2021-11-11,37.04
2021-11-12,37.1
2021-11-15,37.06
2021-11-16,36.8
2021-11-17,37.1
2021-11-18,37
2021-11-19,36.74
2021-11-22,35.9
2021-11-23,35.6
2021-11-24,35.56
2021-11-26,35.5
2021-11-29,35.46
2021-11-30,35.22
2021-12-01,35.36
2021-12-02,35.14
2021-12-03,35.46
2021-12-06,35.38
2021-12-07,35.5
2021-12-08,35.5
2021-12-09,35.3
2021-12-10,35.42
2021-12-13,35.54
2021-12-14,35.2
2021-12-15,35.36
2021-12-16,35.76
2021-12-17,35.7
2021-12-20,35.56
2021-12-21,35.54
2021-12-22,35.9
2021-12-23,35.96
2021-12-27,36.02
2021-12-28,35.9
2021-12-29,35.88
2021-12-30,36.12
2021-12-31,36.36
2022-01-03,35.8
2022-01-04,36.08
2022-01-05,35.96
2022-01-06,35.54
2022-01-07,35.68
2022-01-10,35.8
2022-01-11,36.24
2022-01-12,36.32
2022-01-13,36.22
2022-01-14,36.12
2022-01-18,36.06
2022-01-19,36.64
2022-01-20,36.52
2022-01-21,36.42
2022-01-24,36.58
2022-01-25,36.74
2022-01-26,36.14
2022-01-27,35.68
2022-01-28,35.56
2022-01-31,35.76
2022-02-01,35.78
2022-02-02,35.94
2022-02-03,35.88
2022-02-04,35.94
2022-02-07,36.22
2022-02-08,36.3
2022-02-09,36.44
2022-02-10,36.32
2022-02-11,37
2022-02-14,37.18
2022-02-15,36.84
2022-02-16,37.22
2022-02-17,37.72
2022-02-18,37.68
2022-02-22,37.76
2022-02-23,37.95
